Name,Attacking,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Skill,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control
Herolind Shala,295,58,65,45,65,62,316,69,61,56,58,72
Pierre Cornud,296,68,52,59,62,55,307,61,66,61,59,60
Clinton Mola,255,66,38,51,67,33,297,64,51,47,70,65
Federico Palacios Martínez,294,52,65,43,65,69,300,75,65,48,40,72
Jefferson Gómez,209,25,18,69,57,40,218,56,24,26,54,58
Lukas Daschner,295,53,65,55,68,54,282,67,49,38,61,67
Sylla Sow,307,67,65,58,62,55,261,68,49,38,42,64
Ibrahim Chenihi,291,59,56,59,67,50,320,71,60,57,64,68
Christian Cruz,291,65,55,50,60,61,314,60,72,54,66,62
Bakary Nimaga,245,50,38,62,64,31,260,60,37,39,60,64
Steffen Puttkammer,201,22,24,66,62,27,205,32,29,27,60,57
Juan Familia-Castillo,288,71,54,53,66,44,296,69,63,43,56,65
Michiel Jonckheere,321,67,59,61,71,63,325,65,60,60,70,70
Jann-Fiete Arp,293,46,67,62,53,65,254,68,44,38,34,70
Alhaji Kamara,287,39,65,63,54,66,254,63,60,25,42,64
Alex Bass,91,14,16,14,33,14,100,15,19,16,30,20
Víctor Álvarez Rozada,274,62,62,43,59,48,280,66,54,41,54,65
Marcos Curado,217,29,27,69,56,36,180,29,33,28,41,49
Daniel Cervantes,213,37,18,68,55,35,178,47,20,16,39,56
Lukas Ried,296,67,54,62,67,46,282,63,49,51,57,62
Grégory Grisez,267,61,47,60,57,42,262,55,45,46,56,60
Joan Oumari,226,32,41,64,63,26,210,43,28,25,58,56
Ian Henderson,309,61,71,52,62,63,320,67,60,66,58,69
Christoffer Aasbak,266,70,41,48,60,47,320,59,70,68,58,65
Louis Bostyn,57,19,5,5,20,8,78,5,20,21,19,13
Simon Handle,275,59,62,47,59,48,288,70,62,47,46,63
Reece Oxford,219,34,22,64,63,36,246,52,44,36,57,57
David Gray,260,66,35,60,63,36,279,60,55,44,58,62
Saša Jovanović,290,70,63,42,67,48,299,68,55,47,63,66
Sondre Bjørshol,209,62,24,40,62,21,246,59,41,29,54,63
Paddy Madden,295,43,69,61,56,66,270,60,52,47,49,62
Noë Dussenne,254,41,28,73,56,56,202,35,28,29,59,51
Siphelele Ntshangase,264,47,65,41,67,44,294,70,49,44,57,74
Mikel Villanueva,253,65,27,59,60,42,255,42,49,47,59,58
Max Dombrowka,215,61,27,46,60,21,216,60,29,26,39,62
Iriome González González,304,60,67,62,61,54,279,68,41,49,51,70
Davide Di Gennaro,312,67,60,50,71,64,353,66,74,75,69,69
Nuno Caio Cedrim Feitosa,310,72,50,56,73,59,374,72,83,68,76,75
Timo Perthel,286,66,47,51,64,58,323,64,69,68,58,64
Luca Clemenza,295,66,55,43,72,59,364,76,75,75,63,75
Daniel Hernández,289,67,53,37,68,64,334,67,66,70,62,69
Jacob Brown,304,66,63,63,59,53,292,69,56,47,55,65
Zheng Zou,279,67,45,67,65,35,287,63,55,48,61,60
Dylan Gissi,274,63,42,65,62,42,284,51,51,61,57,64
Bård Finne,297,50,65,51,63,68,306,67,63,70,37,69
Julio José Pleguezuelo Selva,254,53,32,66,66,37,275,64,40,44,59,68
Mayron George,281,43,58,67,56,57,266,61,50,50,43,62
José Antonio García Rabasco,312,71,61,49,69,62,369,62,83,81,71,72
Tatsuya Morita,61,11,7,13,25,5,86,14,12,14,27,19
Răzvan Oaidă,293,58,54,61,68,52,309,67,54,55,65,68
Mijat Marić,253,39,52,69,53,40,260,38,52,58,56,56
Alexandros Katranis,262,65,40,53,65,39,279,64,58,42,52,63
Kamal Sowah,282,59,59,40,64,60,320,68,62,61,59,70
Rémi Pillot,90,15,9,19,37,10,83,10,9,11,28,25
Hugo André Rodrigues Seco,286,63,63,45,61,54,303,70,64,48,53,68
Lucas Rodríguez,273,64,48,41,64,56,328,64,72,68,62,62
Ryan Allsop,89,15,11,13,35,15,98,12,14,12,34,26
Jakub Szumski,63,13,12,12,13,13,63,11,15,13,12,12
Sang Min Sim,248,67,50,38,63,30,277,67,50,39,57,64
Zlatan Alomerović,82,16,11,13,31,11,85,14,16,12,22,21
Reza Asadi,286,48,58,69,65,46,287,53,52,53,66,63
Matías Esquivel,299,59,59,53,71,57,363,73,81,71,67,71
Patrik Karlsson Lagemyr,284,61,63,33,69,58,310,70,68,49,55,68
Leonardo Henriques Coelho,234,39,36,68,56,35,220,40,39,37,57,47
Andreas Leitner,94,16,20,12,31,15,103,16,21,13,23,30
Michael Pereira,293,64,57,61,60,51,285,67,50,48,57,63
Johannes Wurtz,317,57,62,70,64,64,270,63,53,40,55,59
Philipp Zulechner,296,42,65,65,58,66,264,62,58,37,49,58
Sessi D'Almeida,274,44,54,61,68,47,275,62,45,37,62,69
Brandon Bye,289,61,55,60,62,51,271,61,57,47,46,60
Luka Ilić,282,66,50,46,64,56,314,71,67,47,60,69
Ersin Destanoğlu,53,14,9,10,15,5,62,9,10,11,15,17
Bart Vriends,213,27,29,73,58,26,209,41,30,27,55,56
Walter Clar,234,59,33,59,55,28,227,62,38,33,28,66
Charles Monsalvo,302,53,65,63,61,60,238,64,37,34,41,62
Stefan Lex,291,60,63,49,63,56,307,69,65,49,58,66
Jean-Claude Billong,223,39,25,64,59,36,200,47,32,32,46,43
Eldin Jakupović,89,11,12,12,39,15,92,11,11,14,34,22
Scott McMann,250,62,33,58,61,36,260,62,42,43,50,63
Long Tan,321,62,65,67,62,65,284,67,48,47,58,64
Cándido Ramírez,296,62,69,50,63,52,312,69,65,56,57,65
Mart Lieder,277,42,64,64,59,48,258,65,40,42,44,67
Mattia Finotto,309,53,64,65,62,65,272,64,49,48,48,63
Yuki Kobayashi,239,44,48,49,73,25,263,58,34,37,71,63
Luis Perea Hernández,275,49,55,68,71,32,282,66,38,41,66,71
Daniel Febles,289,41,65,68,56,59,224,61,36,32,36,59
Estevão Danilo Rios Chiamulera,299,74,54,49,73,49,337,63,63,68,72,71
Erik Expósito Hernández,290,28,68,67,67,60,233,63,41,30,35,64
Toshio Shimakawa,269,39,53,58,66,53,253,53,46,36,61,57
Marc McNulty,299,46,67,64,58,64,283,61,62,59,36,65
Dario Del Fabro,199,25,23,68,49,34,179,44,22,21,46,46
Shinnosuke Nakatani,211,22,18,67,57,47,166,31,22,23,34,56
Kirian Rodríguez,282,54,53,57,73,45,313,68,53,52,69,71
Robert Lundström,258,59,49,46,63,41,292,61,60,49,62,60
Quenten Martinus,297,59,62,55,60,61,321,64,64,67,61,65
Max O'Leary,81,16,10,11,30,14,72,13,11,12,17,19
Bojan Letić,265,60,58,51,67,29,234,63,40,37,30,64
Rafael Barros Silva,282,55,62,65,51,49,255,60,52,32,41,70
Sean McConville,280,64,62,32,63,59,321,64,67,67,60,63
Jesús Medina,329,67,63,66,70,63,328,62,71,66,66,63
Liam Boyce,295,43,68,68,61,55,295,65,58,60,48,64
Mario de Luna,219,42,20,68,59,30,227,40,33,45,50,59
Rodrigo Salinas,299,34,69,73,57,66,225,62,39,28,32,64
Salvatore Esposito,285,59,52,51,72,51,326,61,66,65,68,66
Jonathan Toledo,245,55,35,63,65,27,221,40,36,30,49,66
Joshua Smits,97,13,17,12,39,16,111,15,18,19,33,26
Muammer Yıldırım,75,13,14,14,20,14,82,17,13,16,17,19
Gary Madine,304,42,65,71,59,67,241,59,42,35,39,66
Carlos Melgar,308,67,59,57,59,66,326,70,58,61,70,67
Xavier Arreaga,196,23,18,78,50,27,152,25,30,22,44,31
Aster Vranckx,282,56,51,48,71,56,315,66,64,48,66,71
Lander Olaetxea,273,35,68,47,69,54,294,75,57,40,62,60
Leandro Suhr,321,61,62,63,69,66,282,64,62,34,54,68
Niklas Sandberg,305,64,62,60,65,54,323,67,65,61,64,66
Jake Mulraney,279,66,63,38,58,54,280,69,55,39,52,65
Scott Pittman,300,51,65,64,67,53,323,71,61,60,63,68
Tomás Lago Pontes Esteves,253,68,36,52,65,32,258,69,44,37,42,66
Gaspar Iñiguez,269,59,44,48,70,48,309,65,58,46,70,70
Tobias Schwede,276,69,58,43,62,44,258,63,46,35,51,63
Matt Olosunde,263,57,42,62,62,40,255,64,41,36,52,62
Makana Baku,240,57,54,30,54,45,278,72,55,39,44,68
Andreas Landgren,285,61,45,63,65,51,280,57,53,45,63,62
Marcel Ziegl,272,54,43,58,64,53,315,62,60,70,59,64
Tortol Lumanza Lembi,276,56,48,57,70,45,308,68,60,46,65,69
Murat Uçar,280,60,62,42,66,50,280,65,49,39,62,65
Milan Dimun,243,36,31,64,67,45,256,53,31,43,64,65
Bright Edomwonyi,293,49,63,63,59,59,255,69,43,39,39,65
Christian Dorda,250,63,22,57,63,45,290,60,66,42,61,61
Adam Frączczak,317,65,65,65,65,57,311,63,64,63,60,61
Daniel-Kofi Kyereh,305,53,68,58,59,67,231,75,31,27,33,65
Arild Østbø,60,15,8,8,22,7,53,7,13,8,12,13
Gabriel Resende Brazão,62,12,6,13,25,6,74,10,13,12,26,13
Moussa Sylla,295,50,66,59,61,59,283,72,48,45,49,69
Alan Lithgow,223,31,39,69,55,29,190,41,31,21,50,47
Germán Paulo da Silveira,208,27,23,63,70,25,244,57,34,27,64,62
Sam McCallum,290,64,52,62,61,51,315,65,65,63,58,64
Juan Matheus Alano Nascimento,294,60,61,52,67,54,300,65,51,52,65,67
Matías Pardo,266,66,59,25,62,54,315,68,62,58,61,66
Jonathan Grounds,257,58,32,63,62,42,285,62,46,55,59,63
Frederico Luis Rendel Barreto,289,64,53,53,63,56,305,66,50,71,53,65
Lukáš Juliš,304,63,66,64,56,55,282,63,55,48,52,64
Nicolò Manfredini,82,18,12,16,25,11,82,11,12,13,24,22
Dean Furman,294,58,61,50,67,58,303,64,49,57,66,67
Greg Leigh,250,60,45,59,56,30,249,64,34,35,51,65
Tom Boere,301,43,66,70,58,64,278,61,55,59,44,59
Joseph Mills,266,66,43,55,58,44,315,63,66,67,59,60
Russell Teibert,283,65,51,46,73,48,323,66,70,52,65,70
Abdullah Madu,213,42,22,69,52,28,168,29,26,21,39,53
Facundo Altamirano,89,12,12,18,27,20,94,15,15,15,27,22
Marian Pleașcă,271,52,52,52,59,56,246,56,44,40,53,53
Kristoffer Løkberg,301,59,59,54,66,63,285,64,46,48,62,65
Jordan Shipley,296,66,62,40,69,59,331,65,69,66,65,66
Luis Segovia,263,60,36,63,65,39,228,38,37,35,48,70
Dave Gnaase,267,54,47,51,67,48,291,60,50,48,66,67
Cristian Colmán,276,29,63,69,51,64,271,66,56,49,36,64
Ricardo Miguel Martins Alves,235,43,36,63,57,36,236,47,38,36,61,54
Alex Charles Doneiro Gomes,331,50,74,66,65,76,311,67,60,64,50,70
Pengfei Xie,293,59,65,52,62,55,289,65,61,44,53,66
Rodrigo Ureña,280,50,51,75,68,36,271,57,35,42,68,69
Ruben Kristiansen,243,60,43,45,60,35,266,61,48,42,55,60
Jorge Zules Caicedo,215,29,25,69,57,35,178,33,31,27,49,38
Pablo Cifuentes,236,51,31,64,61,29,245,49,49,40,52,55
Ștefan Vlădoiu,246,63,35,52,58,38,240,54,43,38,44,61
Bentley Baxter Bahn,296,70,59,39,66,62,342,65,76,72,59,70
Morgan Poaty,242,54,47,55,47,39,243,63,37,32,50,61
Nikola Jambor,283,62,40,57,72,52,299,68,43,45,73,70
Adão Douglas Morrinhos Paes,322,60,73,66,51,72,307,65,54,71,54,63
Paseka Mako,228,55,34,56,49,34,256,62,44,44,46,60
Roberto Olabe Del Arco,287,68,58,45,71,45,305,69,52,45,69,70
Niklas Hauptmann,264,62,49,33,73,47,332,72,69,53,66,72
Petrus Boumal,255,45,43,56,70,41,287,66,40,41,74,66
Mohammed Abu,275,53,48,54,67,53,318,63,66,57,65,67
Marcin Listkowski,277,49,60,50,66,52,279,70,52,30,57,70
Ethan Laird,271,64,54,61,61,31,275,70,59,28,56,62
Sven Köhler,260,45,50,55,69,41,272,62,40,45,61,64
Janner Corozo,258,68,56,45,61,28,259,70,30,31,63,65
Jong Woo Park,293,62,54,65,69,43,318,64,60,62,65,67
Gabriel Simion,286,60,49,63,66,48,272,57,44,47,63,61
Marco Ureña,300,57,62,55,64,62,291,68,49,59,46,69
Yuichi Maruyama,251,56,33,66,67,29,239,45,30,31,68,65
Diego Sosa,263,59,53,55,62,34,249,55,41,32,57,64
Pavel Maslov,254,65,31,61,67,30,246,60,37,39,53,57
Wojciech Golla,237,41,29,64,60,43,242,40,50,37,58,57
Andersson Ordóñez,209,22,35,68,53,31,179,43,26,20,45,45
John Fajardo,234,39,44,67,63,21,238,49,37,22,59,71
Daniel Cerântula Fuzato,87,15,17,21,26,8,73,15,9,9,28,12
Kei Koizumi,247,59,35,53,66,34,247,49,32,38,64,64
Gastón Gómez,61,13,5,10,24,9,71,11,13,10,22,15
Lucas Silva Melo,256,60,32,63,61,40,259,56,42,39,62,60
Cristian Flores,80,10,16,20,30,4,144,24,23,18,57,22
Rudy Camacho,245,52,32,65,69,27,281,59,58,30,69,65
Makhtar Gueye,314,49,73,69,57,66,246,60,47,38,39,62
Michal Sipľak,249,65,34,55,64,31,237,63,26,28,54,66
Lennart Moser,60,13,5,11,22,9,62,8,13,14,15,12
David Forniés Aquilino,227,63,24,48,55,37,245,48,37,47,53,60
Seung Beom Ko,268,58,60,43,65,42,283,63,30,61,64,65
Denis Rodríguez,297,66,55,49,68,59,311,67,55,52,67,70
Jordan Cousins,267,53,49,53,66,46,249,62,23,29,67,68
Jessic Ngankam,310,68,73,58,65,46,273,72,45,41,50,65
Eric Smith,250,43,50,46,68,43,299,61,44,58,72,64
Jingdao Jin,306,58,53,55,67,73,303,63,59,53,64,64
Bilel Saidani,243,41,45,59,63,35,241,50,43,32,53,63
Callum Johnson,256,65,38,58,62,33,255,61,41,33,58,62
Serge Tabekou,305,62,66,61,58,58,289,66,62,48,52,61
Stian Rode Gregersen,233,35,38,64,55,41,220,35,48,38,49,50
Dimitri Mohamed,305,67,55,64,68,51,316,64,59,62,65,66
Zié Mohamed Ouattara,225,58,28,52,54,33,245,63,36,39,42,65
Tim Boss,65,9,9,8,29,10,96,16,13,18,28,21
Abdullah Al Khaibari,248,54,35,55,66,38,260,58,37,39,61,65
Ufuk Akyol,265,51,46,57,75,36,297,66,44,46,71,70
Fredrik Oldrup Jensen,279,57,46,62,67,47,303,56,58,58,67,64
Dylan Louiserre,309,67,57,54,70,61,339,65,69,71,66,68
Romario Moise,299,55,63,50,68,63,315,64,59,62,65,65
Jack Colback,277,59,51,52,70,45,294,60,60,50,61,63
Tim Kister,201,30,21,70,61,19,179,32,25,26,52,44
Jakub Bartkowski,253,63,38,48,63,41,237,55,29,33,59,61
Muzepper Mirahmetjan,315,68,62,62,66,57,342,62,75,72,67,66
Lasse Vibe,321,59,67,63,66,66,284,65,64,45,44,66
Hassan Kadish,243,65,30,61,58,29,281,57,51,55,56,62
Nik Omladič,255,65,45,25,64,56,349,72,70,71,64,72
Gabriel Eugénio Souza,70,13,10,14,23,10,82,15,12,10,25,20
Leonardo Bertone,285,59,64,58,67,37,326,60,67,68,65,66
Luke Hemmerich,273,63,49,55,62,44,313,63,70,57,58,65
Yasin Pehlivan,290,43,50,61,66,70,268,61,48,37,60,62
Diego Martínez,92,17,14,18,27,16,91,11,20,18,17,25
Jhon Vásquez,294,68,62,46,59,59,307,69,63,59,52,64
Rasmus Nicolaisen,245,38,41,69,65,32,241,50,38,32,56,65
Cristian Rodríguez Pérez,276,64,50,51,69,42,308,65,56,53,67,67
Kyohei Yoshino,192,28,20,57,64,23,213,38,29,23,59,64
Max Besuschkow,293,60,50,62,68,53,308,65,57,52,66,68
Scott Jamieson,250,63,51,55,60,21,312,59,70,66,57,60
Hongbo Yin,290,65,60,47,69,49,322,66,62,64,65,65
Fabian Kalig,248,49,40,64,57,38,241,57,48,39,48,49
Danilo Arboleda,201,27,16,75,60,23,155,32,21,26,35,41
Ionuț Larie,250,41,35,73,58,43,205,38,26,38,49,54
Ferdinand Oswald,65,12,7,13,27,6,72,14,13,14,21,10
Alan Judge,304,69,63,40,69,63,337,68,69,70,62,68
Sascha Mölders,302,38,70,72,58,64,253,44,56,42,44,67
Maxime D'Arpino,294,64,51,48,72,59,336,67,64,68,68,69
Daniël van Kaam,288,59,53,48,71,57,325,66,64,55,69,71
Delano Burgzorg,288,59,63,60,62,44,264,72,44,34,46,68
Roland Niczuly,94,23,15,13,25,18,72,16,14,11,14,17
Kayden Jackson,282,45,66,65,52,54,238,63,41,39,33,62
Gaëtan Karlen,287,32,68,65,56,66,272,57,57,50,46,62
Paweł Cibicki,314,67,63,57,64,63,321,66,67,68,52,68
Prosper Mendy,245,61,36,52,59,37,257,59,48,36,52,62
Abdullah Durak,288,61,60,60,65,42,310,66,61,48,65,70
Wálter Chalá,292,45,65,57,59,66,261,61,46,47,40,67
Sérgio Romeo Marakis,235,42,36,57,64,36,265,60,41,45,56,63
Shangyuan Wang,297,55,52,68,61,61,329,67,68,67,62,65
Mairon Quiñones,239,59,37,62,58,23,226,55,30,31,52,58
Nils Fröling,295,59,65,46,63,62,247,65,35,46,38,63
Dominique Badji,291,44,65,71,59,52,235,67,39,39,24,66
A.J. DeLaGarza,283,59,49,60,67,48,294,57,61,55,58,63
Tim Coremans,97,14,19,13,35,16,89,15,16,17,20,21
Fabian Nürnberger,253,62,38,53,67,33,259,65,38,28,62,66
Xinghan Wu,303,64,60,64,63,52,293,64,55,56,54,64
Jakub Słowik,78,14,15,14,20,15,74,14,11,18,21,10
Michael Heylen,238,44,29,70,65,30,221,36,32,35,62,56
Michael Huber,208,30,26,69,52,31,189,40,25,27,42,55
Julien Serrano,267,66,45,60,62,34,279,66,58,40,52,63
Yuta Nakayama,261,49,35,68,68,41,286,62,46,44,67,67
Javier Salas,282,58,51,47,72,54,300,64,54,42,72,68
Ntsikelelo Nyauza,258,51,54,66,66,21,250,66,26,28,64,66
Victor Wernersson,255,61,44,47,66,37,281,64,51,40,60,66
Aaron Tshibola,292,59,49,72,70,42,312,67,54,51,70,70
Pa Konate,239,64,35,45,64,31,274,63,53,42,58,58
Rodrigo Riquelme Reche,283,49,65,49,63,57,285,69,49,44,55,68
Petar Zanev,279,69,38,63,62,47,308,59,64,56,65,64
Daiki Watari,313,54,67,60,64,68,295,66,65,54,44,66
Carlos Miguel Coronel,56,10,8,12,20,6,63,5,10,10,21,17
Abel Mabaso,272,63,40,56,73,40,266,54,45,48,69,50
Igor Zlatanović,319,64,66,65,61,63,255,64,54,36,38,63
Ryosuke Maeda,226,39,46,45,70,26,285,57,38,55,68,67
Ayman Ben Mohamed,280,63,58,49,61,49,274,63,57,37,54,63
Kohei Shimizu,281,64,62,35,64,56,309,69,60,64,53,63
Per Frick,305,52,67,65,62,59,260,55,46,47,54,58
Jonas Carls,262,59,55,54,60,34,280,66,42,46,62,64
Pierre Kalulu,254,56,31,68,68,31,266,54,54,44,54,60
Yeong Jae Lee,254,42,54,54,65,39,316,67,55,59,69,66
David Carmona Sierra,246,62,33,55,58,38,279,57,57,45,59,61
Leo Weinkauf,62,11,9,10,22,10,56,8,9,10,15,14
Jordan Rossiter,249,46,44,57,66,36,269,57,45,41,62,64
Juan Fernández Blanco,229,42,25,66,59,37,219,39,36,36,44,64
Tommy Oar,278,67,51,31,68,61,323,65,65,65,61,67
Pedro Henrique Alves de Almeida,293,28,68,74,58,65,234,64,36,38,33,63
Maximilian Welzmüller,264,59,50,48,68,39,316,55,63,66,69,63
Dimitri Lavalée,244,68,21,65,68,22,240,60,26,27,63,64
Maic Sema,292,58,60,49,64,61,294,68,59,48,51,68
Murat Akça,246,54,37,68,65,22,232,45,36,33,58,60
Daniel Quiñones,262,67,33,60,62,40,280,63,65,35,55,62
Adrián Leites,289,33,65,70,63,58,260,69,36,28,59,68
Erik Friberg,293,69,58,46,70,50,333,58,73,66,69,67
Karim Azamoum,276,69,51,41,69,46,323,61,65,65,68,64
Aleksandar Ignjovski,266,61,41,50,66,48,305,64,62,58,56,65
Imad Khalili,318,63,63,62,65,65,326,66,67,61,64,68
Ricardo Salcedo,256,48,41,54,68,45,267,50,41,44,66,66
Guillermo de los Santos,227,39,45,57,58,28,220,39,38,37,45,61
Néstor Vidrio,272,61,38,67,63,43,281,54,51,50,62,64
Fabian Menig,233,50,31,58,56,38,213,49,35,31,39,59
Tomás Asta-Buruaga,249,56,37,63,56,37,217,45,35,41,41,55
Adedeji Oshilaja,217,48,24,65,58,22,210,54,26,22,52,56
Rustamzhon Ashurmatov,241,44,28,66,64,39,280,57,51,48,62,62
Luan Leite da Silva,194,26,19,66,59,24,185,32,27,25,49,52
Yukitoshi Ito,240,66,27,54,65,28,263,55,48,37,63,60
José Andrés Martínez,254,47,45,58,70,34,249,58,37,32,60,62
Leonardo Flores,261,67,58,36,65,35,279,66,49,39,56,69
Shuto Yamamoto,288,76,41,63,69,39,284,66,49,38,67,64
Marvin Loría,281,60,62,43,62,54,323,68,60,71,58,66
Luis Chávez,293,68,59,48,70,48,325,69,46,71,69,70
Naoki Nomura,318,66,65,51,67,69,330,65,72,65,63,65
Farouk Chafaï,227,35,29,73,52,38,194,35,40,24,48,47
Sung Hwan Kim,305,58,47,76,67,57,332,65,68,68,64,67
Jens Odgaard,282,42,70,61,56,53,260,68,52,34,38,68
Moreto Moro Cassamá,292,56,51,54,72,59,324,71,65,56,65,67
Jorn Brondeel,96,16,17,20,28,15,80,15,12,18,16,19
Gavin Whyte,274,59,59,47,61,48,278,69,50,41,52,66
Lassana Faye,221,59,26,50,55,31,245,63,34,31,59,58
Aristote Nkaka,228,47,28,60,63,30,257,60,36,37,62,62
Timothé Cognat,273,61,56,41,70,45,319,68,62,51,68,70
Charles Abi,305,59,63,63,64,56,276,69,48,40,51,68
Yohei Takaoka,68,13,9,14,25,7,75,11,14,13,22,15
Alimami Gory,298,59,63,66,59,51,282,69,53,44,48,68
Adriano Duarte Castanheira,291,65,55,47,66,58,316,70,66,47,65,68
Carlos Rivero,241,49,34,68,67,23,215,57,30,29,30,69
Sergiy Bolbat,300,68,60,51,70,51,329,75,49,70,64,71
Andrei Radu,265,62,42,52,60,49,281,58,60,52,51,60
Ahmed Issa Koro Koné,300,44,67,68,57,64,276,63,56,53,46,58
Bogdan Milovanov,233,63,36,52,47,35,236,67,40,35,40,54
Marlon Hairston,293,59,60,54,65,55,268,61,59,33,48,67
Nikita Haikin,102,15,18,20,32,17,102,18,17,14,29,24
Christian Rivera Hernández,275,59,41,60,68,47,297,65,58,40,66,68
Ivan Kecojević,251,46,47,69,59,30,202,41,28,31,38,64
David Worrall,293,66,58,54,63,52,303,66,59,60,56,62
Aboubakary Koita,274,64,63,32,61,54,307,68,59,57,60,63
Szilveszter Hangya,264,66,32,66,65,35,245,59,32,28,61,65
Abner Felipe Souza de Almeida,242,67,38,52,55,30,266,71,39,41,52,63
Erce Kardeşler,60,11,8,12,24,5,84,11,13,17,28,15
Ibou Touray,269,64,48,53,59,45,301,61,62,62,56,60
Yankouba Jarju,291,40,70,68,61,52,281,62,57,48,50,64
Patrick Sontheimer,260,58,52,35,69,46,300,65,60,40,67,68
Peter Kurzweg,261,70,49,44,65,33,306,63,71,49,63,60
Alexis Peña,237,41,33,61,63,39,216,35,38,27,54,62
Andrés López,237,61,30,57,62,27,238,46,47,30,55,60
Jakub Żubrowski,245,60,31,47,65,42,300,61,55,60,61,63
Morten Hjulmand,260,46,49,53,70,42,285,66,39,45,67,68
Adama Traoré,272,58,55,51,60,48,262,68,51,31,47,65
Ken Tokura,285,30,67,69,57,62,270,64,62,44,34,66
Djordje Mihailovic,298,58,59,51,70,60,321,67,59,59,69,67
Takuya Aoki,280,53,48,63,68,48,303,61,51,58,68,65
Dirk Abels,249,64,38,65,59,23,239,56,48,20,51,64
Georgiy Zhukov,293,66,60,49,69,49,311,71,55,50,67,68
Jair Torrico,226,52,34,58,56,26,217,52,42,34,36,53
Tomoya Ugajin,291,67,53,55,66,50,320,65,64,59,65,67
Gustavo Cortéz,253,64,35,61,58,35,248,47,59,34,47,61
André Campos Moreira,77,14,15,12,24,12,86,12,17,15,25,17
Curtis Edwards,313,68,59,53,65,68,329,64,72,57,71,65
Eduardo Fereira,254,67,39,54,59,35,231,39,42,39,45,66
Nico Antonitsch,190,24,21,62,54,29,167,31,27,24,41,44
Luca Zidane,60,12,8,12,22,6,64,10,14,11,15,14
Jorge Filipe Oliveira Fernandes,222,35,25,66,51,45,221,49,34,32,54,52
Murray Davidson,275,54,58,68,66,29,300,65,43,64,62,66
Salih Dursun,258,57,37,67,57,40,256,52,50,44,56,54
Luka Adžić,305,62,61,56,63,63,330,71,66,64,60,69
Adam Lundqvist,277,63,42,46,62,64,318,55,75,63,60,65
Ramazan Civelek,271,60,54,33,62,62,300,66,61,48,57,68
Lucas de Souza Cunha,202,28,28,64,53,29,189,41,29,35,37,47
Justin Shonga,320,62,72,61,70,55,289,73,38,71,39,68
Loïc Nestor,266,57,39,69,63,38,217,42,29,29,65,52
Matías Cano,93,10,9,10,57,7,123,16,12,12,45,38
Andi Zeqiri,315,63,69,66,59,58,268,68,62,32,38,68
Naoki Ishihara,304,37,68,63,67,69,305,63,54,55,65,68
Josh Williams,273,51,39,67,67,49,277,55,56,40,69,57
Petrișor Petrescu,263,60,60,38,63,42,315,64,64,66,57,64
William Rémy,242,61,27,66,63,25,261,49,30,55,64,63
Diego Valencia,272,29,71,66,62,44,243,65,26,25,57,70
Felipe Román,233,65,22,59,62,25,234,54,29,27,62,62
Raphael Rossi Branco,239,38,37,73,58,33,198,46,37,22,42,51
John Ogu,308,57,51,71,65,64,283,61,46,52,61,63
Ivan Franjić,299,67,57,57,63,55,276,63,58,32,60,63
Gwion Edwards,295,65,60,52,62,56,316,68,63,59,63,63
Paul Hanlon,224,55,28,66,62,13,242,52,59,12,60,59
Benjamin Nygren,304,63,65,52,69,55,306,67,54,51,64,70
Quentin Daubin,290,60,61,65,69,35,292,66,47,48,63,68
Jean Onana,271,52,49,58,68,44,289,58,51,50,64,66
Diogo dos Santos Cabral,253,62,46,45,61,39,292,69,70,38,46,69
Kyle Lafferty,319,57,66,68,61,67,302,62,61,70,45,64
Yoshihiro Nakano,278,61,52,45,64,56,314,69,67,46,66,66
Jasmin Fejzić,66,11,11,13,23,8,82,15,12,15,16,24
Léo Schwechlen,232,64,16,70,65,17,209,45,25,35,44,60
Max Svensson,271,62,56,39,61,53,312,69,65,60,50,68
Emil Riis,285,42,68,64,55,56,269,63,40,57,44,65
Jimmy Ryan,275,60,52,46,68,49,318,65,61,60,65,67
Jason Pendant,236,61,32,51,62,30,262,62,34,62,58,46
Mirkan Aydin,318,55,67,71,63,62,286,61,58,58,47,62
Fabian Reese,296,60,60,68,65,43,262,67,47,37,46,65
Takuya Iwanami,200,24,15,67,67,27,214,30,25,28,67,64
August Erlingmark,273,49,52,68,65,39,250,56,41,33,57,63
Simon Strand,212,55,27,45,55,30,234,57,39,30,46,62
Salvador José Milhazes Agra,277,64,60,32,61,60,337,67,70,70,63,67
Tom Beugelsdijk,226,31,34,71,58,32,209,43,35,30,51,50
Tim Rieder,238,48,27,59,66,38,226,39,31,38,50,68
Jordan Willis,204,43,15,66,55,25,241,54,49,29,49,60
Elliot Lee,311,57,65,59,67,63,314,67,62,61,58,66
Josh Morris,294,68,66,54,65,41,335,64,74,71,61,65
Marvin Stefaniak,287,67,60,40,65,55,329,68,81,72,41,67
Peet Bijen,227,33,35,67,64,28,244,57,36,34,55,62
Connor Ogilvie,249,61,32,64,62,30,287,64,49,54,59,61
Aboubakar Keita,248,40,37,59,64,48,283,63,52,35,67,66
Yusuke Goto,313,62,62,58,68,63,322,66,64,61,67,64
Fábio Daniel Ferreira Vieira,290,58,63,43,73,53,333,66,69,64,70,64
